"","factions","short_name","fathername","number","region_name","totally","accepted","partly_accepted","rejected","redakciyno_accepted","others","no_conclusion"
"1","Батьківщина","Олександр Абдуллін","Рафкатович","1209-1","",1,0,0,1,0,0,0
"2","Батьківщина","Олександр Абдуллін","Рафкатович","2035","",1,0,0,1,0,0,0
"3","Батьківщина","Костянтин Бондарєв","Анатолійович","1048","",16,0,0,16,0,0,0
"4","Батьківщина","Костянтин Бондарєв","Анатолійович","1053-1","",13,0,0,13,0,0,0
"5","Батьківщина","Костянтин Бондарєв","Анатолійович","1061","",4,1,0,3,0,0,0
"6","Батьківщина","Костянтин Бондарєв","Анатолійович","1064","",2,0,0,2,0,0,0
"7","Батьківщина","Костянтин Бондарєв","Анатолійович","1208-2","",37,8,1,28,0,0,0
"8","Батьківщина","Костянтин Бондарєв","Анатолійович","1210","",38,6,0,32,0,0,0
"9","Батьківщина","Костянтин Бондарєв","Анатолійович","1233","",9,0,2,7,0,0,0
"10","Батьківщина","Костянтин Бондарєв","Анатолійович","2047-д","",2,0,0,2,0,0,0
"11","Батьківщина","Костянтин Бондарєв","Анатолійович","2110","",11,10,0,0,1,0,0
"12","Батьківщина","Костянтин Бондарєв","Анатолійович","2178-10","",11,0,0,11,0,0,0
"13","Батьківщина","Костянтин Бондарєв","Анатолійович","2179","",60,3,1,56,0,0,0
"14","Батьківщина","Костянтин Бондарєв","Анатолійович","2285-д","",13,0,0,13,0,0,0
"15","Батьківщина","Костянтин Бондарєв","Анатолійович","2288","",3,3,0,0,0,0,0
"16","Батьківщина","Костянтин Бондарєв","Анатолійович","2317","",2,0,0,2,0,0,0
"17","Батьківщина","Костянтин Бондарєв","Анатолійович","2538","",17,0,0,17,0,0,0
"18","Батьківщина","Костянтин Бондарєв","Анатолійович","2539","",9,2,0,7,0,0,0
"19","Батьківщина","Сергій Власенко","Володимирович","1008","",26,3,0,23,0,0,0
"20","Батьківщина","Сергій Власенко","Володимирович","1009","",50,0,1,49,0,0,0
"21","Батьківщина","Сергій Власенко","Володимирович","1010","",51,1,0,49,1,0,0
"22","Батьківщина","Сергій Власенко","Володимирович","1031","",59,1,0,56,1,0,1
"23","Батьківщина","Сергій Власенко","Володимирович","1035-2","",3,1,2,0,0,0,0
"24","Батьківщина","Сергій Власенко","Володимирович","1039-2","",1,0,1,0,0,0,0
"25","Батьківщина","Сергій Власенко","Володимирович","1042-1","",4,2,1,1,0,0,0
"26","Батьківщина","Сергій Власенко","Володимирович","1043","",8,3,0,5,0,0,0
"27","Батьківщина","Сергій Власенко","Володимирович","1044-1","",3,0,1,2,0,0,0
"28","Батьківщина","Сергій Власенко","Володимирович","1056-1","",64,26,1,37,0,0,0
"29","Батьківщина","Сергій Власенко","Володимирович","2178-10","",18,0,0,18,0,0,0
"30","Батьківщина","Сергій Власенко","Володимирович","2179","",103,16,1,84,2,0,0
"31","Батьківщина","Сергій Власенко","Володимирович","2237","",4,1,0,3,0,0,0
"32","Батьківщина","Сергій Власенко","Володимирович","2239-1","",67,3,1,62,1,0,0
"33","Батьківщина","Сергій Власенко","Володимирович","2260","",2,2,0,0,0,0,0
"34","Батьківщина","Сергій Власенко","Володимирович","2571-д","",6,1,0,5,0,0,0
