"","factions","short_name","fathername","region_name","totally","accepted","partly_accepted","rejected","redakciyno_accepted","others","no_conclusion"
"1","Батьківщина","Олександр Абдуллін","Рафкатович","",2,0,0,2,0,0,0
"2","Батьківщина","Костянтин Бондарєв","Анатолійович","",247,33,4,209,1,0,0
"3","Батьківщина","Сергій Власенко","Володимирович","",487,64,10,407,5,0,1
"4","Батьківщина","Михайло Волинець","Якович","",29,0,4,24,1,0,0
"5","Батьківщина","Віталій Данілов","Богданович","",2,0,0,2,0,0,0
"6","Батьківщина","Валерій Дубіль","Олександрович","",111,45,10,51,5,0,0
"7","Батьківщина","Вадим Івченко","Євгенович","",552,125,45,352,30,0,0
"8","Батьківщина","Володимир Кабаченко","Вікторович","",149,80,9,55,4,0,1
"9","Батьківщина","Іван Кириленко","Григорович","",252,106,12,68,66,0,0
"10","Батьківщина","Андрій Кожем'якін","Анатолійович","",110,53,12,44,1,0,0
"11","Батьківщина","Іван Крулько","Іванович","",269,49,26,190,4,0,0
"12","Батьківщина","Олексій Кучеренко","Юрійович","",95,3,1,90,1,0,0
"13","Батьківщина","Анжеліка Лабунська","Вікторівна","",235,54,13,163,5,0,0
"14","Батьківщина","Олег Мейдич","Леонідович","Вінницька область",107,56,5,41,5,0,0
"15","Батьківщина","Валентин Наливайченко","Олександрович","",171,25,33,95,18,0,0
"16","Батьківщина","Григорій Немиря","Михайлович","",55,4,1,50,0,0,0
"17","Батьківщина","Андрій Ніколаєнко","Іванович","",242,89,28,120,4,0,0
"18","Батьківщина","Андрій Пузійчук","Вікторович","",476,101,43,305,27,0,0
"19","Батьківщина","Сергій Соболєв","Владиславович","",245,29,12,202,2,0,0
"20","Батьківщина","Сергій Тарута","Олексійович","",309,117,45,129,18,0,0
"21","Батьківщина","Юлія Тимошенко","Володимирівна","",253,19,11,222,1,0,0
"22","Батьківщина","Михайло Цимбалюк","Михайлович","",283,59,29,186,9,0,0
"23","Батьківщина","Альона Шкрум","Іванівна","",373,89,56,212,16,0,0
"24","ГОЛОС","Соломія Бобровська","Анатоліївна","",41,5,10,23,3,0,0
"25","ГОЛОС","Леся Василенко","Володимирівна","",226,40,34,128,24,0,0
"26","ГОЛОС","Галина Васильченко","Іванівна","Львівська область",362,90,41,207,24,0,0
"27","ГОЛОС","Ярослав Железняк","Іванович","",767,288,91,383,5,0,0
"28","ГОЛОС","Юлія Клименко","Леонідівна","",234,59,18,128,29,0,0
"29","ГОЛОС","Роман Костенко","Васильович","",173,64,25,69,15,0,0
"30","ГОЛОС","Роман Лозинський","Михайлович","",349,73,38,210,28,0,0
"31","ГОЛОС","Олег Макаров","Анатолійович","",241,47,31,149,14,0,0
"32","ГОЛОС","Андрій Осадчук","Петрович","",469,100,40,297,32,0,0
"33","ГОЛОС","Наталія Піпа","Романівна","Львівська область",272,53,29,158,32,0,0
"34","ГОЛОС","Сергій Рахманін","Іванович","",378,122,31,180,45,0,0
"35","ГОЛОС","Кіра Рудик","Олександрівна","",18,7,1,10,0,0,0
"36","ГОЛОС","Ярослав Рущишин","Іванович","Львівська область",92,31,23,35,3,0,0
"37","ГОЛОС","Інна Совсун","Романівна","",197,28,12,126,31,0,0
"38","ГОЛОС","Ольга Стефанишина","Анатоліївна","",190,33,13,115,29,0,0
"39","ГОЛОС","Рустем Умєров","Енверович","",2,0,0,2,0,0,0
"40","ГОЛОС","Олександра Устінова","Юріївна","",280,56,28,163,32,0,1
"41","ГОЛОС","Володимир Цабаль","Володимирович","",197,31,18,119,29,0,0
"42","ГОЛОС","Ярослав Юрчишин","Романович","",278,56,20,169,32,0,1
"43","ДОВІРА","Володимир Арешонков","Юрійович","Житомирська область",1,1,0,0,0,0,0
"44","ДОВІРА","Микола Бабенко","Вікторович","Київська область",25,5,4,16,0,0,0
"45","ДОВІРА","Павло Бакунець","Андрійович","Львівська область",28,1,3,23,1,0,0
"46","ДОВІРА","Лариса Білозір","Миколаївна","Вінницька область",143,38,24,79,2,0,0
"47","ДОВІРА","Геннадій Вацак","Анатолійович","Вінницька область",45,0,3,42,0,0,0
"48","ДОВІРА","Сергій Вельможний","Анатолійович","Луганська область",462,112,44,272,34,0,0
"49","ДОВІРА","Роберт Горват","Іванович","Закарпатська область",346,109,47,187,3,0,0
"50","ДОВІРА","Максим Єфімов","Вікторович","Донецька область",83,29,15,33,6,0,0
"51","ДОВІРА","Андрій Іванчук","Володимирович","Івано-Франківська область",15,6,1,7,1,0,0
"52","ДОВІРА","Андрій Кіт","Богданович","Львівська область",31,0,4,27,0,0,0
"53","ДОВІРА","Олександр Ковальов","Іванович","Донецька область",234,25,5,178,26,0,0
"54","ДОВІРА","Олег Кулініч","Іванович","Полтавська область",1076,394,97,518,67,0,0
"55","ДОВІРА","Микола Кучер","Іванович","Вінницька область",56,13,5,37,1,0,0
"56","ДОВІРА","Валерій Лунченко","Валерійович","Закарпатська область",161,44,11,104,2,0,0
"57","ДОВІРА","Микола Люшняк","Володимирович","Тернопільська область",56,8,4,44,0,0,0
"58","ДОВІРА","Василь Петьовка","Васильович","Закарпатська область",167,50,12,97,8,0,0
"59","ДОВІРА","Владіслав Поляк","Миколайович","Закарпатська область",22,3,7,12,0,0,0
"60","ДОВІРА","Борис Приходько","Вікторович","Чернігівська область",485,155,65,250,15,0,0
"61","ДОВІРА","Олександр Сухов","Сергійович","Луганська область",451,106,43,272,30,0,0
"62","ДОВІРА","Сергій Шахов","Володимирович","Луганська область",486,117,51,288,30,0,0
"63","ЄС","Сергій Алєксєєв","Олегович","",260,46,16,192,5,0,1
"64","ЄС","Володимир Ар'єв","Ігорович","",38,1,1,36,0,0,0
"65","ЄС","Михайло Бондар","Леонтійович","Львівська область",79,21,3,50,5,0,0
"66","ЄС","Володимир В'ятрович","Михайлович","",42,11,3,28,0,0,0
"67","ЄС","Микола Величкович","Романович","",99,20,3,72,4,0,0
"68","ЄС","Артур Герасимов","Володимирович","",44,13,0,27,4,0,0
"69","ЄС","Ірина Геращенко","Володимирівна","",201,41,12,137,11,0,0
"70","ЄС","Олексій Гончаренко","Олексійович","Одеська область",370,58,22,284,5,0,1
"71","ЄС","Михайло Забродський","Віталійович","",302,93,25,167,17,0,0
"72","ЄС","Яна Зінкевич","Вадимівна","",154,15,3,134,1,0,1
"73","ЄС","Марія Іонова","Миколаївна","",156,28,29,92,7,0,0
"74","ЄС","Іванна Климпуш-Цинцадзе","Орестівна","",230,37,23,164,6,0,0
"75","ЄС","Микола Княжицький","Леонідович","Львівська область",372,99,30,233,10,0,0
"76","ЄС","Руслан Князевич","Петрович","",197,56,13,120,8,0,0
"77","ЄС","Степан Кубів","Іванович","",126,12,3,110,1,0,0
"78","ЄС","Андрій Лопушанський","Ярославович","Львівська область",28,8,1,19,0,0,0
"79","ЄС","Ростислав Павленко","Миколайович","",95,20,16,52,7,0,0
"80","ЄС","Андрій Парубій","Володимирович","",1,1,0,0,0,0,0
"81","ЄС","Максим Саврасов","Віталійович","",157,30,20,104,3,0,0
"82","ЄС","Олег Синютка","Михайлович","",93,16,4,73,0,0,0
"83","ЄС","Вікторія Сюмар","Петрівна","",55,16,1,36,1,0,1
"84","ЄС","Софія Федина","Романівна","",92,15,3,70,4,0,0
"85","ЄС","Ірина Фріз","Василівна","",224,42,16,160,6,0,0
"86","ЄС","Ахтем Чийгоз","Зейтуллайович","",26,9,0,17,0,0,0
"87","ЄС","Ніна Южаніна","Петрівна","",776,236,49,472,19,0,0
"88","За майбутнє","Віктор Балога","Іванович","Закарпатська область",10,0,1,9,0,0,0
"89","За майбутнє","Тарас Батенко","Іванович","Львівська область",341,55,29,241,16,0,0
"90","За майбутнє","Віктор Бондар","Васильович","Хмельницька область",155,31,1,119,4,0,0
"91","За майбутнє","Олександр Герега","Володимирович","Хмельницька область",141,53,5,78,1,0,4
"92","За майбутнє","Ігор Гузь","Володимирович","Волинська область",61,9,20,32,0,0,0
"93","За майбутнє","Ярослав Дубневич","Васильович","Львівська область",76,14,8,52,2,0,0
"94","За майбутнє","Степан Івахів","Петрович","Волинська область",20,20,0,0,0,0,0
"95","За майбутнє","Антон Кіссе","Іванович","Одеська область",19,3,1,15,0,0,0
"96","За майбутнє","Ігор Колихаєв","Вікторович","Херсонська область",43,4,8,31,0,0,0
"97","За майбутнє","Ірина Констанкевич","Мирославівна","Волинська область",361,68,46,223,24,0,0
"98","За майбутнє","Сергій Лабазюк","Петрович","Хмельницька область",147,19,5,109,14,0,0
"99","За майбутнє","Дмитро Лубінець","Валерійович","Донецька область",211,42,34,113,22,0,0
"100","За майбутнє","Віктор М'ялик","Ничипорович","Рівненська область",30,3,7,20,0,0,0
"101","За майбутнє","Сергій Мінько","Анатолійович","Запорізька область",273,87,15,140,31,0,0
"102","За майбутнє","Ігор Молоток","Федорович","Сумська область",2,2,0,0,0,0,0
"103","За майбутнє","Ігор Палиця","Петрович","Волинська область",21,5,6,10,0,0,0
"104","За майбутнє","Антон Поляков","Едуардович","Чернігівська область",140,54,9,72,4,0,1
"105","За майбутнє","Сергій Рудик","Ярославович","Черкаська область",14,0,0,14,0,0,0
"106","За майбутнє","Анна Скороход","Костянтинівна","Київська область",183,22,9,150,2,0,0
"107","За майбутнє","Анатолій Урбанський","Ігорович","Одеська область",17,1,1,15,0,0,0
"108","За майбутнє","Іван Чайківський","Адамович","Тернопільська область",36,4,2,29,1,0,0
"109","За майбутнє","Петро Юрчишин","Васильович","Вінницька область",10,0,1,9,0,0,0
"110","За майбутнє","Антон Яценко","Володимирович","Черкаська область",101,8,12,80,1,0,0
"111","ОПЗЖ","Віталій Борт","Петрович","",1,1,0,0,0,0,0
"112","ОПЗЖ","Анатолій Бурміч","Петрович","",216,14,3,199,0,0,0
"113","ОПЗЖ","Олег Волошин","Анатолійович","",510,0,3,507,0,0,0
"114","ОПЗЖ","Валерій Гнатенко","Сергійович","Донецька область",81,0,0,81,0,0,0
"115","ОПЗЖ","Сергій Дунаєв","Володимирович","",1,1,0,0,0,0,0
"116","ОПЗЖ","Юрій Загородній","Іванович","",38,0,0,38,0,0,0
"117","ОПЗЖ","Юлій Іоффе","Якович","",2,1,0,0,1,0,0
"118","ОПЗЖ","Дмитро Ісаєнко","Валерійович","",17,8,3,4,2,0,0
"119","ОПЗЖ","Володимир Кальцев","Федорович","",67,0,1,66,0,0,0
"120","ОПЗЖ","Олександр Качний","Сталіноленович","",59,0,0,59,0,0,0
"121","ОПЗЖ","Ілля Кива","Володимирович","",456,10,0,446,0,0,0
"122","ОПЗЖ","Ігор Кісільов","Петрович","",2,0,0,2,0,0,0
"123","ОПЗЖ","Тарас Козак","Романович","",88,19,10,59,0,0,0
"124","ОПЗЖ","Олександр Колтунович","Сергійович","",637,13,5,618,1,0,0
"125","ОПЗЖ","Наталія Королевська","Юріївна","",759,39,9,710,1,0,0
"126","ОПЗЖ","Олександр Лукашев","Анатолійович","Луганська область",96,4,8,83,1,0,0
"127","ОПЗЖ","Григорій Мамка","Миколайович","",569,130,69,333,36,0,1
"128","ОПЗЖ","Суто Мамоян","Чолоєвич","",9,9,0,0,0,0,0
"129","ОПЗЖ","Віктор Медведчук","Володимирович","",14,7,0,7,0,0,0
"130","ОПЗЖ","Володимир Мороз","Вікторович","Донецька область",78,0,0,78,0,0,0
"131","ОПЗЖ","Василь Німченко","Іванович","",127,4,4,119,0,0,0
"132","ОПЗЖ","Юрій Павленко","Олексійович","",115,2,4,107,2,0,0
"133","ОПЗЖ","Михайло Папієв","Миколайович","",182,7,4,171,0,0,0
"134","ОПЗЖ","Тетяна Плачкова","Михайлівна","",372,7,9,348,7,0,1
"135","ОПЗЖ","Олександр Пономарьов","Сергійович","Запорізька область",118,0,1,117,0,0,0
"136","ОПЗЖ","Наталія Приходько","Ігорівна","",18,3,0,15,0,0,0
"137","ОПЗЖ","Олександр Пузанов","Геннадійович","",149,16,10,118,5,0,0
"138","ОПЗЖ","Микола Скорик","Леонідович","",64,1,0,62,1,0,0
"139","ОПЗЖ","Антоніна Славицька","Керимівна","",63,27,4,30,2,0,0
"140","ОПЗЖ","Юрій Солод","Васильович","Донецька область",306,39,8,258,1,0,0
"141","ОПЗЖ","Вадим Столар","Михайлович","",35,1,2,32,0,0,0
"142","ОПЗЖ","Григорій Суркіс","Михайлович","",6,6,0,0,0,0,0
"143","ОПЗЖ","Олександр Фельдман","Борисович","Харківська область",41,15,16,2,8,0,0
"144","ОПЗЖ","Федір Христенко","Володимирович","Донецька область",39,0,0,39,0,0,0
"145","ОПЗЖ","Віктор Чорний","Іванович","",127,0,2,125,0,0,0
"146","ОПЗЖ","Нестор Шуфрич","Іванович","",538,4,2,532,0,0,0
"147","Позафракційні","Святослав Вакарчук","Іванович","",160,26,12,99,23,0,0
"148","Позафракційні","Вікторія Гриб","Олександрівна","Луганська область",358,56,19,279,3,0,1
"149","Позафракційні","Олесь Довгий","Станіславович","Кіровоградська область",45,38,5,1,1,0,0
"150","Позафракційні","Роман Іванісов","Валерійович","Рівненська область",99,7,4,82,6,0,0
